"","a","b","g","u"
"X405",1.64801650845947,-1.18967018063744,0,1
"X764",1.42985696609439,-0.652690664427649,0,1
"X462",1.3949926049368,-1.03288482743453,0,1
"X727",1.45614308402999,-1.01198644899549,0,1
"X922",1.53580759972374,-0.870856233781411,0,1
"X856",0.192649476565928,5.16692413881402,0,1
"X83",1.0342633250733,-0.189121163861144,0,1
"X911",1.51309565389671,-0.695765946772974,0,1
"X668",1.2606513368366,-0.966400437980051,0,1
"X332",1.01804367921309,-0.583913260693216,0,1
"X855",1.38137511250745,-1.08196234265481,0,1
"X625",1.31619154171603,-0.454450659311948,0,1
"X836",1.13475618812671,-0.130675046872197,0,1
"X252",0.823424722223456,-1.18175692085661,0,1
"X199",1.70911433313844,-1.092575863207,0,1
"X815",1.73601059802492,-1.00922828138323,0,1
"X50",1.12059135764232,-0.421484789447365,0,1
"X178",1.75472687517572,-1.4949083692341,0,1
"X547",0.955492756451228,-0.159419023027249,0,1
"X89",1.89759081852039,-0.743057573554492,0,1
